Order,PID,Lot.Frontage,Lot.Area,Year.Built,Year.Remod.Add,Mas.Vnr.Area,BsmtFin.SF.1,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,TotRms.AbvGrd,Fireplaces,Garage.Yr.Blt,Garage.Cars,Garage.Area,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Misc.Val,Mo.Sold,Yr.Sold,SalePrice,MS.SubClass.fact,MS.Zoning.fact,Street.fact,Lot.Shape.fact,Land.Contour.fact,Utilities.fact,Lot.Config.fact,Land.Slope.fact,Neighborhood.fact,Condition.1.fact,Condition.2.fact,Bldg.Type.fact,House.Style.fact,Overall.Qual.fact,Overall.Cond.fact,Roof.Style.fact,Roof.Matl.fact,Exterior.1st.fact,Exterior.2nd.fact,Mas.Vnr.Type.fact,Exter.Qual.fact,Exter.Cond.fact,Foundation.fact,Bsmt.Qual.fact,Bsmt.Cond.fact,Bsmt.Exposure.fact,BsmtFin.Type.1.fact,BsmtFin.Type.2.fact,Heating.fact,Heating.QC.fact,Central.Air.fact,Electrical.fact,Kitchen.Qual.fact,Functional.fact,Garage.Type.fact,Garage.Finish.fact,Garage.Qual.fact,Garage.Cond.fact,Paved.Drive.fact,Sale.Type.fact,Sale.Condition.fact,TotalArea,HasFireplace,Remodeled
11,527163010,75,10000,1993,1994,0,0,0,763,763,763,892,0,1655,0,0,2,1,3,1,7,1,1993,2,440,157,84,0,0,0,0,0,4,2010,175900,60,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2418,1,1
12,527165230,NA,7980,1992,2007,0,935,0,233,1168,1187,0,0,1187,1,0,2,0,3,1,6,0,1992,2,420,483,21,0,0,0,0,500,3,2010,185000,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2355,0,1
13,527166040,63,8402,1998,1998,0,0,0,789,789,789,676,0,1465,0,0,2,1,3,1,7,1,1998,2,393,0,75,0,0,0,0,0,5,2010,180400,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2254,1,0
14,527180040,85,10176,1990,1990,0,637,0,663,1300,1341,0,0,1341,1,0,1,1,2,1,5,1,1990,2,506,192,0,0,0,0,0,0,2,2010,171500,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2641,1,0
15,527182190,NA,6820,1985,1985,0,368,1120,0,1488,1502,0,0,1502,1,0,1,1,1,1,4,0,1985,2,528,0,54,0,0,140,0,0,6,2010,212000,120,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,Gd,Gd,PConc,Gd,TA,Av,GLQ,BLQ,GasA,TA,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,2990,0,0
16,527216070,47,53504,2003,2003,603,1416,0,234,1650,1690,1589,0,3279,1,0,3,1,4,1,12,1,2003,3,841,503,36,0,0,210,0,0,6,2010,538000,60,RL,Pave,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,Hip,CompShg,CemntBd,Wd Shng,BrkFace,Ex,Ex,PConc,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,Ex,Mod,BuiltIn,Fin,TA,TA,Y,WD ,Normal,4929,1,0
17,527225035,152,12134,1988,2005,0,427,0,132,559,1080,672,0,1752,0,0,2,0,4,1,8,0,1988,2,492,325,12,0,0,0,0,0,6,2010,164000,50,RL,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,Wood,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Basment,RFn,TA,TA,Y,WD ,Normal,2311,0,1
18,527258010,88,11394,2010,2010,350,1445,0,411,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,2010,3,834,113,0,0,0,0,0,0,6,2010,394432,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,Gd,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,New,Partial,3712,1,0
19,527276150,140,19138,1951,1951,0,120,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,1951,2,400,0,0,0,0,0,0,0,6,2010,141000,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,1728,0,0
20,527302110,85,13175,1978,1988,119,790,163,589,1542,2073,0,0,2073,1,0,2,0,3,1,7,2,1978,2,500,349,0,0,0,0,0,0,2,2010,210000,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Plywood,Plywood,Stone,TA,TA,CBlock,Gd,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,TA,Min1,Attchd,Unf,TA,TA,Y,WD ,Normal,3615,1,1
21,527358140,105,11751,1977,1977,480,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,1977,2,546,0,122,0,0,0,0,0,1,2010,190000,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,COD,Normal,3688,1,0
22,527358200,85,10625,1974,1974,81,885,168,0,1053,1173,0,0,1173,1,0,2,0,3,1,6,2,1974,2,528,0,120,0,0,0,0,0,1,2010,170000,85,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,LwQ,GasA,TA,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Family,2226,1,0
23,527368020,NA,7500,2000,2000,0,533,0,281,814,814,860,0,1674,1,0,2,1,3,1,7,0,2000,2,663,0,96,0,0,0,0,0,1,2010,216000,60,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,2488,0,0
24,527402200,NA,11241,1970,1970,180,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970,2,480,0,0,0,0,0,0,700,3,2010,149000,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2008,1,0
25,527402250,NA,12537,1971,2008,0,734,0,344,1078,1078,0,0,1078,1,0,1,1,3,1,6,1,1971,2,500,0,0,0,0,0,0,0,4,2010,149900,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2156,1,1
26,527403020,65,8450,1968,1968,0,775,0,281,1056,1056,0,0,1056,1,0,1,0,3,1,6,1,1968,1,304,0,85,184,0,0,0,0,7,2010,142000,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2112,1,0
27,527404120,70,8400,1970,1970,0,804,78,0,882,882,0,0,882,1,0,1,0,2,1,4,0,1970,2,525,240,0,0,0,0,0,0,4,2010,126000,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,1764,0,0
28,527425090,70,10500,1971,1971,0,432,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,NA,0,0,0,0,0,0,0,0,0,4,2010,115000,20,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,No Garage,NA,No Garage,No Garage,Y,ConLI,Normal,1728,1,0
29,527427230,26,5858,1999,1999,0,1051,0,354,1405,1337,0,0,1337,1,0,2,0,2,1,5,1,1999,2,511,203,68,0,0,0,0,0,6,2010,184000,120,RH,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,None,Gd,Gd,PConc,Gd,TA,No,GLQ,BLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,2742,1,0
30,527451180,21,1680,1971,1971,504,156,0,327,483,483,504,0,987,0,0,1,1,2,1,5,0,1971,1,264,275,0,0,0,0,0,0,2,2010,96000,160,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,COD,Normal,1470,0,0
31,527451330,21,1680,1971,1971,492,300,0,225,525,525,567,0,1092,0,0,1,1,3,1,6,0,1997,1,320,0,0,0,0,0,0,0,3,2010,105500,160,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Normal,1617,0,0
32,527451410,21,1680,1971,1971,381,0,0,525,525,525,567,0,1092,0,0,1,1,3,1,6,0,1971,1,264,0,0,0,0,0,0,0,3,2010,88000,160,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,ImStucc,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD ,Family,1617,0,0
33,527452190,53,4043,1977,1977,0,360,0,709,1069,1069,0,0,1069,0,0,2,0,2,1,4,1,1977,2,440,0,55,0,0,165,0,0,7,2010,127500,120,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,2138,1,0
34,527453130,24,2280,1975,1975,0,514,0,341,855,855,601,0,1456,0,0,2,1,3,1,6,1,1975,2,440,173,0,0,0,0,0,0,6,2010,149900,160,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2311,1,0
35,527453150,24,2280,1975,1975,0,0,0,836,836,836,0,0,836,0,0,1,0,2,1,4,0,1975,1,308,0,30,0,0,0,0,0,6,2010,120000,120,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,1672,0,0
36,527454200,24,2280,1978,1978,0,311,0,544,855,855,601,0,1456,0,0,2,1,3,1,7,1,1978,2,440,26,0,0,0,0,0,0,7,2010,146000,160,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD ,Normal,2311,1,0
37,528108120,102,12858,2009,2010,162,0,0,1590,1590,1627,707,0,2334,0,0,2,1,3,1,10,1,2009,3,751,144,133,0,0,0,0,0,1,2010,376162,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Gable,CompShg,VinylSd,VinylSd,Stone,Ex,Ex,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,New,Partial,3924,1,1
38,528112020,98,11478,2007,2008,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,0,0,5,2010,306000,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,Gd,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,3408,1,1
39,528120060,83,10159,2009,2010,450,1646,0,284,1930,1940,0,0,1940,1,0,2,1,3,1,8,1,2010,3,606,168,95,0,0,0,0,0,4,2010,395192,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,Ex,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,New,Partial,3870,1,1
40,528120090,94,12883,2009,2010,256,0,0,1544,1544,1544,0,0,1544,0,0,2,0,3,1,7,0,2009,3,868,0,35,0,0,0,0,0,6,2010,290941,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,Gd,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,New,Partial,3088,0,1
41,528120100,95,12182,2005,2005,226,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2005,2,532,0,70,0,0,0,0,0,5,2010,220000,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,TA,Mn,BLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,New,Partial,3082,1,0
42,528120120,90,11520,2005,2005,615,110,0,1588,1698,1698,0,0,1698,0,0,2,0,3,1,7,1,2005,3,730,192,74,0,0,0,0,0,6,2010,275000,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,3396,1,0
43,528138020,79,14122,2005,2006,240,28,0,1794,1822,1822,0,0,1822,0,0,2,0,3,1,8,1,2005,3,678,0,119,0,0,0,0,0,2,2010,259000,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,CemntBd,CmentBd,BrkFace,Gd,Gd,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,3644,1,1
44,528138060,70,10171,2004,2004,168,2,0,1515,1517,1535,0,0,1535,0,0,2,0,3,1,7,0,2004,2,532,0,0,0,0,0,0,0,3,2010,214000,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD ,Normal,3052,0,0
45,528150070,100,12919,2009,2010,760,2188,0,142,2330,2364,0,0,2364,1,0,2,1,2,1,11,2,2009,3,820,0,67,0,0,0,0,0,3,2010,611657,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,Ex,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,New,Partial,4694,1,1
46,528175010,44,6371,2009,2010,128,733,0,625,1358,1358,0,0,1358,1,0,2,0,2,1,6,1,2010,2,484,192,35,0,0,0,0,0,6,2010,224000,120,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,Gd,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,New,Partial,2716,1,1
47,528176010,110,14300,2003,2004,1095,1373,0,1473,2846,2696,0,0,2696,1,0,2,1,3,1,10,2,2003,3,958,220,150,0,0,0,0,0,6,2010,500000,20,RL,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,Ex,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,5542,1,1
48,528176070,105,13650,2002,2002,232,578,0,1093,1671,1687,563,0,2250,1,0,2,1,3,1,7,1,2002,3,756,238,130,0,0,0,0,0,6,2010,320000,60,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,Gd,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD ,Normal,3921,1,0
